"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default"
"5083",320000,"2","2","2",31,-2,-2,-2,-2,-2,-2,3615,3707,5406,3144,1644,1925,3707,5406,3157,1644,1925,0,"0"
"5084",230000,"2","3","1",70,-1,0,0,0,0,0,183500,147525,147391,149904,151816,103443,7000,5500,7000,6066,4000,5000,"1"
"5085",20000,"1","2","2",24,0,0,0,0,0,0,19498,13056,14092,10474,11198,12198,2000,1254,1000,724,1000,1000,"1"
"5086",360000,"1","2","2",28,0,0,-1,0,0,0,19390,22726,12148,12885,12994,15320,7113,12163,3787,714,5369,10026,"0"
"5087",180000,"2","2","2",28,-1,-1,-1,-1,-1,-1,340,-120,420,460,460,610,0,1000,500,460,610,460,"0"
"5088",160000,"2","2","1",41,0,0,0,0,0,0,13512,13453,13420,13873,13833,13818,1206,1329,1098,374,400,364,"0"
"5089",3e+05,"1","2","1",46,-1,-1,-1,-2,-1,0,1413,15393,-10,-10,7805,5738,15480,0,0,7815,28,6554,"0"
"5090",60000,"1","2","2",49,0,0,0,0,0,0,81411,52017,35423,24023,20175,16137,38709,1609,661,656,1000,5000,"0"
"5091",20000,"1","3","1",50,1,5,4,5,4,3,18378,17797,19225,18644,18063,17491,0,2000,0,0,0,0,"0"
"5092",20000,"1","2","1",32,0,0,0,2,0,0,16354,17776,21158,20511,20316,20474,1700,4000,0,800,1000,800,"0"
"5093",1e+05,"2","3","2",48,-2,-2,-2,0,-2,-2,2422,894,0,0,1639,923,894,0,0,1639,923,0,"0"
"5094",10000,"1","3","1",57,0,0,0,2,2,0,7525,6952,9356,9533,9233,9295,1276,2680,477,0,360,1000,"0"
"5095",10000,"1","2","1",35.4763469119579,0,0,2,0,0,0,6696,9080,8794,9604,9604,9800,2668,0,1192,0,196,0,"0"
"5096",50000,"2","2","1",23,0,-1,0,0,0,0,14465,48796,50206,50831,42731,43224,50295,2500,2031,1274,1500,1600,"0"
"5097",50000,"2","3","1",51,0,0,0,0,0,0,22000,20454,21899,20895,11241,-861,2000,2100,2000,1000,0,39500,"1"
"5098",3e+05,"2","2","1",45,0,0,0,0,0,0,343205,335000,322462,312973,262255,251413,12429,11254,10956,8587,8638,9284,"0"
"5099",50000,"1","2","1",43,0,0,0,0,0,0,27681,28287,28924,29521,29876,30201,1458,1485,1472,1217,1347,558,"0"
"5100",30000,"2","2","2",22,0,0,0,0,0,0,19502,8999,11797,11972,16482,9082,3000,3000,4000,5000,5000,5000,"0"
"5101",20000,"2","2","1",35,0,0,0,0,0,0,18126,19174,20095,18583,19313,36046,1347,1268,1000,1000,1000,1000,"0"
"5102",280000,"2","1","1",45,-2,-2,-2,-2,-2,-2,26573,17597,22284,20232,17567,20027,18388,22302,20274,17567,20027,17025,"0"
"5103",1e+05,"2","2","1",42,-2,-2,-2,-2,-2,-2,2811,1055,8090,5524,4973,1000,1055,8090,5549,4973,1000,1000,"0"
"5104",30000,"2","2","1",35,1,-2,-1,0,-1,0,0,0,12403,17849,4935,6491,0,12403,8359,4935,3000,1000,"0"
"5105",2e+05,"2","2","1",34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"1"
"5106",340000,"2","1","1",56,-1,-1,-1,-1,0,0,5610,5399,12347,8612,5479,0,5399,12353,8619,0,0,0,"1"
"5107",60000,"1","3","1",36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"1"
"5108",470000,"1","2","1",32,0,0,0,0,0,0,181224,143173,145293,148871,152309,155769,7000,6000,6000,6000,6000,8000,"0"
"5109",10000,"1","2","2",21,0,0,0,0,-1,-1,6703,8422,9205,9393,4176,0,2000,1000,188,4796.35716810584,0,0,"0"
"5110",260000,"1","2","1",43,0,0,0,0,0,0,99523,76712,55185,82040,60867,59005,3514,3049,58312,3018,3020,1511,"0"
"5111",70000,"1","2","1",48,0,0,0,-1,-1,-1,8439,7606,8638,1230,390,890,1188,2000,1230,390,890,215,"0"
"5112",50000,"1","1","2",31,0,0,0,0,0,0,50758,49517,49528,44768,40295,33088,2501,2005,1312,1614,1706,0,"0"
"5113",150000,"2","2","1",36,2,2,2,2,2,2,100247,109909,112453,113318,114268,116688,12924,5800,4200,4300,4400,4700,"1"
"5114",50000,"1","2","1",39,0,0,0,0,0,0,46410,48710,8108,7358,3098,0,5000,2001,2000,0,0,0,"0"
"5115",50000,"2","2","2",44,-1,-1,-1,-1,-1,-1,501,1463,1276,827,105,270,1463,1276,827,105,270,5235.93435669562,"0"
"5116",90000,"2","3","1",40,1,2,2,3,2,2,78976,84566,89609,87282,88261,90029,7500,7300,0,3300,3300,0,"1"
"5117",180000,"1","2","2",43,0,0,0,0,0,0,106765,99297,69691,71234,72930,75734,10000,5000,2703,3000,4013,10000,"0"
"5118",80000,"2","3","1",25,-1,-1,2,-1,-1,-1,550,1606,1422,2685,1395,2896,1606,4,2693,1395,2906,0,"0"
"5119",220000,"1","1","2",31,-2,-2,-2,-2,-2,-2,2828,2828,2828,2828,2828,3013,2828,2828,2828,2828,3013,2828,"0"
"5120",210000,"1","1","2",40,-1,-1,-1,-1,-1,-1,325,325,325,325,325,325,325,325,325,325,325,325,"1"
"5121",150000,"1","1","2",37,0,0,0,0,0,0,45000,44386,46505,49103,51698,52549,3000,2500,3000,3000,1546,2000,"0"
"5122",290000,"2","1","2",35,0,0,0,0,0,0,190453,194303,197076,197488,196976,196579,8100,7000,5208.03380836871,7000,7500,7500,"0"
"5123",240000,"2","2","1",35,-1,-1,-1,-1,-1,-1,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,5235.93435669562,"1"
"5124",2e+05,"2","3","1",37,-1,-1,-1,0,0,-1,10701,4251,5144,6807,51013,54416,4251,5144,2000,44406,54725,3000,"0"
"5125",150000,"2","2","1",32,1,-1,0,0,0,0,-1474,137049,145900,146168,149712,-288,140916,10000,3119,3744,0,5235.93435669562,"0"
"5126",20000,"2","3","2",45,0,0,0,0,0,0,14381,15701,17137,18541,18909,19464,1564,2000,2000,677,860,1000,"1"
"5127",30000,"1","3","2",59,0,0,0,0,0,0,28372,29152,29643,29593,27952,0,2010,1500,788,559,0,0,"0"
"5128",50000,"1","2","1",34,0,0,0,0,0,0,43389,44381,45942,45943,20276,19515,1717,2278,1279,3475,676,648,"0"
"5129",30000,"1","2","2",38,0,0,0,0,0,0,28637,28711,29138,28852,28487,27788,2002,2002,1503,2006,2005,3000,"0"
"5130",110000,"2","2","2",28,2,2,2,2,2,2,86774,88702,89655,90593,89025,94509,4200,3300,3300,0,7000,2300,"1"
"5131",50000,"1","2","1",43,0,0,0,0,0,0,28287,28924,29521,29876,30201,15611,1485,1472,1217,1347,558,550,"0"
"5132",30000,"1","2","1",23,2,2,2,2,2,2,28224,29276,28635,30127,30525,38798.6761096804,1800,150,2250,1000,0,700,"1"
"5133",50000,"1","2","2",35.4763469119579,1,2,2,2,0,0,53916,55036,56075,54515,52250,52433,2600,2500,0,2000,4000,0,"1"
"5134",120000,"1","2","1",58,-1,-1,-1,-1,-1,-1,396,396,396,396,396,396,396,396,396,396,396,396,"0"
"5135",230000,"2","1","2",38,0,0,0,0,0,0,217578,224020,46900.9004791929,184500,128190,130883,9840,8750,7470,4540,4710,4750,"0"
"5136",3e+05,"2","1","2",31,0,0,0,-1,-1,0,34515,60700,33843,5045,10288,12565,30000,5000,5045,10288,5000,5000,"1"
"5137",50000,"2","2","2",24,0,0,0,0,0,0,29186,29792,26660,27416,27836,28473,1500,1500,1200,1010,1100,980,"0"
"5138",230000,"1","2","2",40,2,2,2,0,0,0,119730,120912,111819,93007,92122,61583,5000,0,3700,3986,2900,1057,"0"
"5139",490000,"2","1","1",48,1,-1,-1,-1,-1,0,500,7081,1460,6213,6040,1155,7081,1460,6213,7195,0,878,"0"
"5140",3e+05,"1","1","2",32,-1,-1,-1,-1,-1,-1,2144,2085,2431,2198,14487,725,2085,2431,2198,14487,725,7818,"0"
"5141",30000,"2","3","1",63,-1,-1,-1,0,-1,-1,8866,5884,11146,7779,8092,1565,5884,11146,0,8092,1565,2620,"0"
"5142",40000,"1","2","2",27,1,3,2,2,3,2,40933,39630,40340,42332,41023,42722,0,2000,3304,0,3000,1200,"0"
"5143",30000,"2","3","1",47,1,2,0,0,0,0,32724,29279,27149,14930,14400,0,5495.85623358254,1500,797,680,0,0,"0"
"5144",50000,"1","1","2",23,0,0,0,-1,-1,-2,17528,17921,0,940,0,0,1000,0,940,0,0,0,"0"
"5145",260000,"1","1","1",39,0,0,0,0,0,0,259394,264334,263431,253596,258387,259118,9876,10020,9900,9331,9307,9676,"0"
"5146",140000,"1","3","2",29,0,0,0,0,0,0,142132,142239,142140,142111,194934,95484,5600,6150,5900,4000,4000,50000,"0"
"5147",190000,"2","2","2",44,0,0,0,0,0,0,162051,168517,169675,171908,153857,153988,17917,7601,7602,6010,6010,6001,"0"
"5148",80000,"1","2","2",28,0,0,0,0,0,0,49302,35916,25528,26034,26615,28173,1412,1425,931,1000,2000,2000,"0"
"5149",240000,"2","2","1",38,0,0,0,0,0,0,231990,202714,199711,203767,208015,220109,10028,7711,7767,8015,15829,9000,"0"
"5150",30000,"1","3","1",50,0,0,0,0,0,-1,28339,24232,15626,9330,4372,1419,1681,2000,0,0,1419,12000,"1"
"5151",20000,"1","1","2",50,0,0,0,0,0,0,17820,18626,18980,7674,5708,4899,1435,1179,1000,114,98,1874,"0"
"5152",2e+05,"2","3","1",35,0,0,0,0,0,0,215090,208556,214321,134517,54711,23611,7700,9300,6500,3000,856,1152,"0"
"5153",150000,"1","2","1",36,2,2,2,2,2,2,47529,40605,39394,37686,38810,31548,17,3105,2,2020,36,1048,"1"
"5154",2e+05,"2","1","2",26,-2,-2,-2,-2,-2,-2,2364,442,33442,2140,964,2075,442,33448,2140,964,2075,7511,"0"
"5155",240000,"2","2","2",35,0,0,0,0,0,0,238887,222691,27627,161492,128496,197209,10000,3000,135050,5000,80000,8000,"0"
"5156",360000,"2","2","2",28,-1,-1,-1,0,0,-2,12393,3434,79795,49160,2847,-13,3445,80401,32083,2907,13,20303,"0"
"5157",130000,"2","1","1",43,-2,-2,-2,-2,-2,-2,2798,2732,8072,5723,6232,8873,3228,8141,5744,6232,8873,3982,"0"
"5158",180000,"2","1","2",27,0,0,0,0,0,0,124501,126822,129440,128571,128631,129813,5000,6000,5000,5000,5000,5000,"0"
"5159",40000,"1","1","2",29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"5160",1e+05,"1","1","2",40,0,0,0,0,2,0,97582,99964,96270,97440,94518,24180,5000,5000,6000,4796.35716810584,484,0,"0"
"5161",30000,"1","2","2",51,0,0,0,0,0,0,29628,29253,28342,28282,30118,24584,1460,1560,2000,3077,804,761,"0"
"5162",340000,"1","1","2",44,0,0,0,0,0,0,83059,85634,73950,59324,156094,110234,20000,5000,2000,112000,4234,4000,"1"
"5163",2e+05,"2","2","2",34,-1,-1,0,-1,-1,-1,12842,9490,6955,28300,13227,11202,13805,6797,28314,13291,11258,11912,"1"
"5164",50000,"1","1","2",29,1,2,2,2,2,2,14497,13975,25731,26112,26548,25970,0,12000,1100,1000,0,2500,"0"
"5165",5e+05,"2","1","2",38,0,0,0,0,0,0,56197,55246,62402,42594,43652,38254,5000,10004,8000,3000,5000,8000,"0"
"5166",5e+05,"2","1","2",25,-1,0,0,0,0,0,119193,163856,170201,162212,145184,118467,70005,10051,6119,7303,15090,10191,"0"
"5167",20000,"1","2","1",27,0,0,0,3,2,0,6599,9315,19067,18472,18037,18487,3000,10000,0,0,900,2000,"0"
"5168",280000,"2","1","1",36,-1,2,-1,-1,-1,0,832,416,416,416,59211,416,0,416,416,59211,0,378,"0"
"5169",50000,"1","2","2",26,2,2,2,2,2,2,32976,34154,33311,35246,34548,36910,2000,0,2800,0,3100,0,"1"
"5170",30000,"1","2","2",38,2,2,2,2,0,0,19992,21055,22120,43048.5446433073,21598,23241,1700,1700,0,782,2000,1100,"0"
"5171",2e+05,"1","3","1",44,2,0,0,0,0,0,147817,121668,67240,69798,72243,75277,11000,11000,5000,5000,5000,3000,"1"
"5172",70000,"2","1","2",34,0,0,0,0,0,0,36467,40505,43333,36959,27296,23474,5000,5000,1500,546,1000,1746,"0"
"5173",280000,"1","2","1",45,-1,-1,-1,-1,-1,-1,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,"0"
"5174",180000,"1","1","1",42,-1,-1,-1,-1,-1,0,326,326,326,326,652,326,326,326,326,652,0,326,"0"
"5175",80000,"2","2","1",50,2,0,0,0,0,0,115027,118188,117725,118100,60745,54509,6000,5500,4356,3000,2100,5000,"0"
"5176",50000,"1","1","2",25,0,0,0,2,2,2,41761,44689,47613,48174,48731,49655,4000,4000,2000,2000,2200,1700,"0"
"5177",80000,"1","2","1",43,1,2,0,0,0,0,77871,71898,46900.9004791929,73745,75675,75999,1261,3214,3000,3500,2266,3000,"0"
"5178",160000,"1","2","1",31,0,0,0,0,2,0,54835,46575,7169,9036,8749,9447,3500,2000,2000,0,1000,500,"0"
"5179",166701.872916456,"2","2","2",33,-1,-1,-1,-1,-2,-1,877,0,3352,0,0,44849,0,3352,0,0,44849,0,"0"
"5180",180000,"1","2","2",26,3,2,2,0,0,2,129728,132185,126527,126407,131572,127154,6006,5,5008,10006,10,5004,"0"
"5181",320000,"2","2","1",29,0,0,0,0,0,0,34818,22718,9398,10222,13791,13498,1690,1500,1000,3628,1041,1006,"0"
"5182",50000,"2","2","2",22,0,0,0,0,0,0,22458,22571,22309,22315,22934,23243,1513,1500,1000,978,839,1800,"0"
"5183",380000,"2","2","1",30,0,0,0,0,0,-1,384846,359926,349753,296465,193342,311009,13291,15287,8532,4334,317077,11892,"0"
"5184",50000,"2","1","2",34,-1,-1,-1,-1,-1,-1,1884,1077,4886,3682,3190,2451,1077,5693,4255,3190,2451,4425,"0"
"5185",80000,"2","1","2",34,-1,0,2,2,2,3,4269,4057,5326,5092,6008,5618,0,1500,0,1000,0,1000,"1"
"5186",330000,"2","1","1",50,-1,-1,-1,-1,-2,-2,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,"0"
"5187",30000,"1","2","2",34,0,0,0,0,0,0,29949,24653,29779,29749,30053,29674,6000,12000,6000,6000,5000,5000,"0"
"5188",50000,"2","3","1",46,0,0,0,0,2,-1,58141,58544,56850,4359,816,766,2200,3000,1218,0,1000,2934,"0"
"5189",360000,"1","3","1",55,0,0,0,0,0,-2,23439,19112,10730,20530,987,837,5000,1200,10000,987,0,1017,"0"
"5190",150000,"2","1","1",35.4763469119579,-1,-1,-2,-2,-2,-2,9474,0,0,0,0,0,0,0,0,0,0,0,"0"
"5191",390000,"2","1","2",33,-2,-2,-2,-2,0,-2,2703,1017,0,0,1560,4386,1017,0,0,1560,4386,12000,"0"
"5192",150000,"2","2","2",23,0,0,0,0,0,0,59555,59684,59501,59075,59171,53557,2812,2599,2143,2208,2112,5000,"0"
"5193",130000,"1","3","2",27,2,-1,-1,0,-1,-2,1985,1666,1306,2049,0,0,1671,1306,2049,0,0,1497,"0"
"5194",30000,"1","1","2",24,0,0,0,0,0,0,28749,29457,29530,28433,21365,0,2004,2169,1260,819,0,0,"0"
"5195",60000,"1","2","1",42,0,0,0,0,0,0,19489,20496,46900.9004791929,22360,19760,0,1336,1542,1200,500,0,0,"0"
"5196",150000,"1","2","1",43,0,0,0,0,0,0,88812,89488,89951,86961,79284,74531,3309,5016,5050,3026,5000,5012,"0"
"5197",210000,"2","1","2",28,-1,-1,-1,-1,-1,-1,5850,4388,3638,7489,2684,9448,4388,3638,7489,2684,9448,5841,"0"
"5198",2e+05,"1","1","1",35,0,0,0,0,0,0,199891,198608,115177,116226,139737,187728,8500,6000,4000,25000,50000,70000,"1"
"5199",280000,"1","1","1",30,0,0,0,0,0,0,166037,166291,162992,134154,161057,167490,12126,39102,5000,30000,10000,10000,"0"
"5200",130000,"1","1","2",43,0,0,0,0,0,0,121816,124223,62318,64214,44840,45969,6000,6000,3000,2000,2000,2000,"0"
"5201",490000,"2","1","1",53,-2,-2,-2,-2,-2,-2,1700,8913,0,400,4186,6205,8913,0,400,4186,6205,2025,"0"
"5202",360000,"1","1","2",33,-1,-1,-1,-1,0,-1,5484,4307,12004,21810,13807,2960,4317,12006,21810,0,2960,1810,"1"
"5203",280000,"1","1","2",31,-2,-2,-2,-2,-2,0,8383,8797,8741,8178,-4,38798.6761096804,9044,8844,8247,0,0,0,"0"
"5204",70000,"2","1","2",28,0,0,0,0,0,0,37325,38402,39476,40818,41833,45165,2000,2000,2000,2000,4000,0,"0"
"5205",50000,"1","2","2",22,0,0,0,0,0,-1,47871,44546,28628,19502,1971,7538,1546,1519,1035,296,20300,1000,"0"
"5206",170000,"1","1","2",36,-2,-2,-2,-2,-2,-2,5470,1701,18406,-979,-1304,2371,2000,19000,0,0,4000,15000,"0"
"5207",160000,"1","1","1",38,1,-1,-1,-2,-2,-2,0,499,0,0,0,0,499,0,0,0,0,0,"0"
"5208",50000,"2","3","2",28,0,0,0,0,0,0,51422,50525,49691,49308,30284,30554,2100,2500,28400,1100,2000,1500,"1"
"5209",60000,"2","1","2",23,0,0,0,0,0,0,27369,27961,28509,28628,28785,28921,1466,1452,1009,1040,1048,856,"0"
"5210",80000,"2","1","1",44,1,-1,-1,-1,-1,-1,-60,2400,595,1810,737,2555,2460,595,1815,737,2555,4290,"0"
"5211",230000,"2","1","1",66,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,5235.93435669562,"1"
"5212",250000,"2","2","1",33,-1,-1,-1,-1,-1,-1,484,0,242,28932,0,1e+05,0,242,28932,0,1e+05,0,"0"
"5213",370000,"2","1","1",53,-1,-1,-1,-1,-1,0,21160,8153,12094,30751,30131,9630,8162,12294,30751,30131,0,0,"0"
"5214",360000,"2","3","1",44,-1,-1,0,-1,-1,-1,2877,1852,2068,2185,9561,321,1861,2078,2361,9608,322,322,"0"
"5215",70000,"2","1","2",27,0,0,0,0,0,0,42825,47047,62703,28945,16345,21163,5000,20000,10000,6000,5000,8000,"0"
"5216",220000,"1","1","2",31,0,0,0,0,0,0,163148,158197,158956,157953,157098,157099,5725,5971,5846,5887,5802,5895,"0"
"5217",30000,"1","2","2",40,0,0,0,0,0,0,21617,24133,25239,26314,27074,28723,3200,1800,1800,1500,2250,600,"0"
"5218",130000,"2","2","1",40,-1,-1,-1,0,-1,-1,1445,1445,1651,1651,390,0,1445,1651,0,390,0,780,"0"
"5219",260000,"2","3","1",54,-1,-1,-2,-2,-2,-2,9760,5465,2504,15809,3756,9560,5484,2504,16593,3764,11092,963,"0"
"5220",60000,"2","3","2",52,0,0,0,0,2,0,60250,60585,61257,62697,60816,61685,2167,2483,6084,0,1936,1850,"0"
"5221",5e+05,"2","1","1",34,0,0,0,0,0,0,250263,247516,245012,243417,233968,209220,29000,29000,30000,30000,6110,6200,"0"
"5222",60000,"2","1","2",31,-1,-1,-1,0,0,-1,9815,11093,699,699,0,1000,11160,699,0,0,1430,850,"0"
"5223",30000,"2","1","2",26,1,2,0,0,0,-1,30739,29586,29412,18587,1558,4681,0,1331,49,5,5363,8,"1"
"5224",140000,"2","2","1",42,1,-2,-1,-1,-1,-1,0,0,1497,1039,1139,0,0,1497,1039,1139,0,5023,"0"
"5225",280000,"2","2","1",45,1,-2,-1,-1,-2,-2,0,0,3288,0,0,38798.6761096804,0,3288,0,0,0,2942,"0"
"5226",30000,"1","2","1",41,1,2,0,0,0,0,14110,13591,14309,15320,15774,15950,0,1244,1255,709,578,741,"0"
"5227",460000,"1","1","1",40,0,0,0,0,0,0,100026,89681,81812,82326,76055,74979,5095,5011,5047,4021,4071,3000,"0"
"5228",210000,"2","2","2",30,0,0,0,0,0,0,215842,220042,214545,215635,163741,162253,9500,9100,9900,6100,6100,6300,"0"
"5229",170000,"2","2","2",26,0,0,0,0,0,0,30005,30621,30308,30163,29999,29973,1842,1708,1163,1199,1173,952,"0"
"5230",80000,"2","2","2",32,0,0,2,0,0,0,11572,14038,14207,14643,14856,15160,2670,700,672,600,550,570,"1"
"5231",50000,"2","2","1",43,0,0,0,2,0,0,51229,46954,51221,49759,49820,50525,2100,5896,0,2000,1988,2000,"0"
"5232",360000,"1","1","2",29,-1,-1,-1,-2,-1,0,2273,1170,0,0,7972,8275,1175,0,0,7972,435,2947,"0"
"5233",180000,"1","1","2",34,-1,0,-1,-1,-1,-1,16953,15884,11153,3889,800,0,1000,11153,3924,800,0,2190,"0"
"5234",150000,"1","1","2",26,-2,-2,-2,-2,0,0,13707,12119,121170,27949,23158,67745,16408,96373,28005,5021,50000,4004,"0"
"5235",120000,"2","1","2",30,-1,2,-1,-1,-1,-1,330,165,165,0,165,0,0,165,0,165,0,0,"1"
"5236",20000,"2","3","2",48,1,3,2,4,5,4,18038,18445,21556,22824,22192,21271,1000,3700,1900,0,0,0,"1"
"5237",280000,"2","2","1",29,0,0,0,0,0,0,233717,87171,87786,86510,83560,84808,10004,3066,3171,3501,3030,2789,"0"
"5238",310000,"1","2","2",35,0,0,0,0,0,0,259636,263812,269351,276873,281764,299161,10000,9775,12000,11000,22000,9905,"0"
"5239",490000,"1","3","1",51,-1,-1,-1,-1,-1,-1,389,376,467,78,399,10,377,481,1,711,1,1,"1"
"5240",50000,"1","2","1",50,2,2,2,2,2,2,19786,19170,21864,21215,23494,22978,0,3008,0,2638,0,845,"1"
"5241",280000,"1","1","1",63,-2,-2,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"5242",340000,"1","1","2",33,-1,-1,-1,-1,0,-1,8427,10289,9452,22630,8819,9327,10300,9461,22676,8007,9336,32776,"0"
"5243",40000,"1","2","2",23,2,2,0,0,0,0,36650,29541,26190,26710,27274,29551,0,1435,955,993,2734,0,"0"
"5244",20000,"1","2","1",37,0,0,-1,-1,-2,-1,17219,14640,19400,0,0,17666,2000,19400,0,0,17666,0,"1"
"5245",30000,"2","2","1",21,0,0,0,0,0,0,28404,29009,29831,29992,21754,18519,1467,1679,1230,827,1000,1000,"0"
"5246",290000,"2","2","2",25,0,0,0,0,0,0,71559,66658,68627,61578,59274,61314,2500,3000,3000,3000,3000,3000,"0"
"5247",80000,"2","3","2",28,-1,-1,-1,-1,-1,-1,2147,612,2110,2298,1196,390,612,2110,2298,1196,390,0,"0"
"5248",60000,"2","2","1",31,-1,-1,-1,-1,-1,-1,44912,11409,-61506,3859,415,415,144047,365,73000,415,415,50136,"1"
"5249",2e+05,"2","2","1",36,0,0,0,0,0,0,184697,186660,77221,110294,68214,72103,8001,5000,35000,6000,5000,5000,"0"
"5250",80000,"2","2","1",45,0,0,0,0,0,0,81841,74516,69485,30396,30595,29033,4100,2507,2140,2000,1500,1000,"0"
"5251",120000,"1","1","2",31,-1,-1,-1,-1,-1,-2,15665,2647,10293,3600,0,0,2647,10363,3600,0,0,0,"0"
"5252",320000,"2","1","2",32,2,0,0,0,0,0,313383,313136,317847,313990,312070,319672,12937,13036,10072,9600,11056,9964,"0"
"5253",50000,"1","1","1",42,0,0,0,0,0,0,51041.1217259652,49515,38680,29664,29057,29083,1850,1507,1100,1200,1116,2900,"0"
"5254",4e+05,"2","1","1",41,-1,-1,-1,0,0,0,8,1274,19143,20305,22063,20695,1274,19143,1305,2063,1695,195000,"0"
"5255",2e+05,"2","2","1",46,0,0,0,0,0,0,106651,103173,104137,103422,95206,65108,3692,5000,3300,2500,2930,1500,"0"
"5256",80000,"1","2","1",61,0,0,0,0,0,0,81647,65470,73855,41003,29690,27596,5500,10000,7003,4700,3600,3500,"1"
"5257",110000,"2","1","2",32,-1,0,0,0,0,0,3610,15427,19563,21994,21994,8391,12000,5000,3000,3000,2000,1000,"0"
"5258",3e+05,"2","1","2",25,1,-2,-1,0,0,0,-4,-231,10610,10520,120,0,227,10841,0,100,0,0,"0"
"5259",50000,"1","3","2",39,0,-1,-1,2,0,0,34390,810,19009,18035,18364,18670,810,51000,0,1000,1000,1000,"0"
"5260",230000,"2","2","2",27,-2,-2,-2,-2,-2,-2,326,326,326,326,326,326,326,5809.67036737989,326,326,326,326,"0"
"5261",280000,"1","1","1",50,3,5,4,3,2,0,327918,321476,314931,176439,154010,134334,0,0,500,0,6267,2257,"0"
"5262",1e+05,"2","1","1",51,1,-2,-2,-1,2,2,0,0,0,300,150,780,0,0,300,0,630,0,"1"
"5263",260000,"1","1","1",38,-1,-1,2,2,-1,2,263,511,248,-15,3526,263,512,1,1,3805,1,527,"0"
"5264",50000,"1","1","2",25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,"1"
"5265",20000,"2","2","1",26,1,2,0,0,0,-2,20224,19210,19327,20000,0,0,0,1500,1000,0,0,0,"0"
"5266",230000,"1","2","3",37,-1,0,0,0,0,-1,11770,16479,20474,26492,326,1056,10000,5000,16492,0,1056,326,"0"
"5267",220000,"2","1","1",26,0,0,0,0,0,0,52593,65221,73395,81697,57517,58920,15000,10000,10000,5000,1776,10000,"0"
"5268",80000,"2","3","2",46,0,0,0,0,0,0,76184,78306,79835,40499,41346,42348,3345,3344,1447,1497,1686,1509,"0"
"5269",180000,"2","1","2",28,-1,-1,-1,0,-1,-1,2393,5428,5683,39351,3241,2614,5461,5834,39000,3241,2614,3506,"0"
"5270",50000,"1","1","2",29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,"1"
"5271",130000,"1","2","2",30,0,0,0,0,0,2,131801,129141,132221,131743,131986,131430,4800,5250,5050,5700,5100,5012,"0"
"5272",90000,"2","2","1",27,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"5273",50000,"2","3","2",22,-2,-2,-2,-2,-2,-2,2498,-2,1697,0,0,5000,0,1699,0,0,5000,0,"0"
"5274",320000,"2","2","2",26,1,3,2,2,2,0,303926,305625,299382,316898,310361,312581,8100,0,24100,0,11700,5235.93435669562,"1"
"5275",2e+05,"2","1","1",40,-1,-1,-1,-1,-1,-1,316,316,316,316,316,316,316,316,316,316,316,316,"0"
"5276",3e+05,"1","2","2",31,-1,-1,-1,-1,-1,-1,86267,78176,48163,13461,5121,5663,78580,48408,13538,5145,5690,13535,"0"
"5277",140000,"2","1","2",31,0,0,0,0,0,0,112936,117021,107837,96546,95489,97347,6000,5000,3400,3617,3600,3700,"0"
"5278",30000,"1","2","2",26,1,3,2,2,2,2,14773,14252,13738,15424,14881,15894,0,0,2226,0,1406,0,"1"
"5279",3e+05,"1","1","2",32,-2,-2,-2,-2,-2,-2,264,264,264,264,414,264,264,264,264,414,264,264,"0"
"5280",50000,"2","1","2",29,-1,-1,-2,-1,-1,-1,2463,0,0,536,326,652,0,0,536,326,652,0,"0"
"5281",180000,"2","1","2",29,0,0,0,0,0,0,123154,126078,78070,50730,48039,47665,5200,3045,3500,2700,2720,2000,"0"
"5282",330000,"1","2","1",29,0,0,0,0,0,0,25131,16610,17586,12580,16254,8213,1200,1157,1331,4005,299,701,"0"
"5283",50000,"2","2","1",55,0,0,2,0,0,0,37984,41234,37701,43048.5446433073,28711,29368,3900,0,1300,1100,1100,1000,"1"
"5284",580000,"2","2","1",57,-1,-1,-1,-1,-1,-1,20498,2290,4968,4481,5574,14240,2290,4968,4485,5583,14242,9986,"0"
"5285",180000,"2","1","2",35.4763469119579,-1,-1,-1,-1,-1,-1,873,7233,2701,1900,45517,9451,7233,2701,1900,45517,9451,5795,"0"
